# r[Å]   g_mean   g_std
2.310000000000000142e+01 1.544550048923464258e+00 7.876083311026987888e-03
2.330000000000000426e+01 1.542996977924279811e+00 7.758995217864573038e-03
2.350000000000000000e+01 1.541668761838726587e+00 7.865626293132739130e-03
2.370000000000000284e+01 1.539842202437797347e+00 7.480511198257058791e-03
2.389999999999999858e+01 1.537359965754293789e+00 7.509187965439594221e-03
2.410000000000000142e+01 1.537357281927352659e+00 8.005812062755916086e-03
2.430000000000000426e+01 1.534917943943891361e+00 8.704043564947885198e-03
2.450000000000000000e+01 1.533380364024980347e+00 6.808570979055951662e-03
2.470000000000000284e+01 1.531735129911209192e+00 8.191872967048303630e-03
2.489999999999999858e+01 1.529226399942577030e+00 7.394077519879478644e-03
2.510000000000000142e+01 1.526738775842017226e+00 7.661088547748673601e-03
2.530000000000000426e+01 1.525240442618789771e+00 8.406316688860252309e-03
2.550000000000000000e+01 1.523283004636602378e+00 7.901997230963429819e-03
2.570000000000000284e+01 1.520791523502133424e+00 8.302219131574525152e-03
2.589999999999999858e+01 1.518568581024374531e+00 8.528710185482134970e-03
2.610000000000000142e+01 1.516577001431349991e+00 7.095391190049296117e-03
2.630000000000000426e+01 1.513651520394972083e+00 7.011059828869348198e-03
2.650000000000000000e+01 1.512143370035546885e+00 7.590509910145931335e-03
2.670000000000000284e+01 1.510007817803263430e+00 8.041679166793684261e-03
2.689999999999999858e+01 1.508184344114088082e+00 7.576502989874766940e-03
2.710000000000000142e+01 1.505366425978178491e+00 7.648707730038350333e-03
2.730000000000000426e+01 1.503048857762867785e+00 8.357022590928457617e-03
2.750000000000000000e+01 1.500193219269352340e+00 8.109553282447225578e-03
2.770000000000000284e+01 1.498198045266360801e+00 8.097294403201324431e-03
2.789999999999999858e+01 1.496412974261317030e+00 7.904993066907440441e-03
2.810000000000000142e+01 1.493775511485521568e+00 7.684346801250720171e-03
2.830000000000000426e+01 1.490781070468219172e+00 7.670306852583048431e-03
2.850000000000000000e+01 1.488166287579216762e+00 7.692767847858808863e-03
