r,block_22,block_23,block_24,block_25,mean_last4
1.310000000000000142e+01,7.160875893934823821e+00,9.153173456470973690e+00,1.068125080452768749e+01,9.531197131564329794e+00,9.131624321624453700e+00
1.330000000000000071e+01,7.003462634234078443e+00,8.853276168216977382e+00,1.044395545108811696e+01,9.252634188280978833e+00,8.888332110455037238e+00
1.350000000000000000e+01,6.963905971332597034e+00,8.761759901733928046e+00,1.022456106127627429e+01,9.304693054284342679e+00,8.813729997156785956e+00
1.370000000000000107e+01,6.892922663430947949e+00,8.569765119378333296e+00,1.031284858183485120e+01,9.191003784660692233e+00,8.741635037326206614e+00
1.390000000000000036e+01,6.753446724006523461e+00,8.314976779530235618e+00,1.021317935055782478e+01,9.106194103663474593e+00,8.596949239439515722e+00
1.410000000000000142e+01,6.767649037742863527e+00,8.181029819303576645e+00,1.002045910528027939e+01,8.995208224933884722e+00,8.491086546815150626e+00
1.430000000000000071e+01,6.784404214717861592e+00,8.101719665904724366e+00,9.889583797891496886e+00,8.940249766785322905e+00,8.428989361324850549e+00
1.450000000000000000e+01,6.671706619859775422e+00,7.938815108361444217e+00,9.710520993402656842e+00,8.891946590763907921e+00,8.303247328096945878e+00
1.470000000000000107e+01,6.680290653990498484e+00,7.731143658489153303e+00,9.650318641654633822e+00,8.718777615329191377e+00,8.195132642365869913e+00
1.490000000000000036e+01,6.634045936237892960e+00,7.686447377085699806e+00,9.473301169111206121e+00,8.663047560932961133e+00,8.114210510841939339e+00
1.510000000000000142e+01,6.595941091870384021e+00,7.631421671838372056e+00,9.465504865451354277e+00,8.634023046603623186e+00,8.081722668940933829e+00
1.530000000000000071e+01,6.534025968088963410e+00,7.372711744978963644e+00,9.160297940635700797e+00,8.543809194551547748e+00,7.902711212063794122e+00
1.550000000000000000e+01,6.655716963199700409e+00,7.409294098152522601e+00,9.093135798157627292e+00,8.408418800170059271e+00,7.891641414919977393e+00
1.570000000000000107e+01,6.621971173530293520e+00,7.200800804682836898e+00,8.972860352074869539e+00,8.259027199419595178e+00,7.763664882426899005e+00
1.590000000000000036e+01,6.553233868878329815e+00,7.081308370545739805e+00,8.849152438202580129e+00,8.277617924670680694e+00,7.690328150574332611e+00
1.610000000000000142e+01,6.545529717926838131e+00,6.969541491544162248e+00,8.786440893029338284e+00,8.184846692839050419e+00,7.621589698834847937e+00
1.630000000000000071e+01,6.598402788125737217e+00,6.894986715781271869e+00,8.736295030077219081e+00,8.078318746376922377e+00,7.577000820090287192e+00
1.650000000000000000e+01,6.523525300636531910e+00,6.773486951701128689e+00,8.474428144700807408e+00,7.973235267680793825e+00,7.436168916179815014e+00
1.670000000000000284e+01,6.626449160508466107e+00,6.677738359386837352e+00,8.347877441946943478e+00,7.974253493824803307e+00,7.406579613916763449e+00
1.689999999999999858e+01,6.536334828371074934e+00,6.566538003891638553e+00,8.332929263249809537e+00,7.866500366869688676e+00,7.325575615595552037e+00
1.710000000000000142e+01,6.564873217176272036e+00,6.521469524633037196e+00,8.169935002335597218e+00,7.737068160782437864e+00,7.248336476231836301e+00
1.730000000000000071e+01,6.603786023591331045e+00,6.450719845236992711e+00,8.008702771686127875e+00,7.663171331090929961e+00,7.181594992901345620e+00
1.750000000000000000e+01,6.543606903310920764e+00,6.403178383698422849e+00,7.941990427521769647e+00,7.671660932797145449e+00,7.140109161832064899e+00
1.770000000000000284e+01,6.560608937222603743e+00,6.381241631490929933e+00,7.773011393795402846e+00,7.566503163575675650e+00,7.070341281521153043e+00
