r,block_22,block_23,block_24,block_25,mean_last4
1.689999999999999858e+01,7.083519185819926456e+00,7.088154933124098278e+00,7.986398304864373188e+00,7.985311285063991349e+00,7.535845927218097984e+00
1.710000000000000142e+01,6.920634324812378502e+00,6.981670998104648973e+00,7.886049794685692227e+00,7.870970908832755519e+00,7.414831506608869027e+00
1.730000000000000071e+01,6.801386083918274039e+00,6.838614466952027904e+00,7.824974838216404827e+00,7.749655161912651025e+00,7.303657637749839893e+00
1.750000000000000000e+01,6.644517651778532041e+00,6.817881733461334193e+00,7.596178418442195657e+00,7.694927142596899472e+00,7.188376236569740563e+00
1.770000000000000284e+01,6.516485272581387100e+00,6.667585516720961003e+00,7.496843279306848906e+00,7.537343457824174919e+00,7.054564381608343204e+00
1.789999999999999858e+01,6.297382360256873035e+00,6.590768282231656450e+00,7.331674987488260520e+00,7.416497733768574463e+00,6.909080840936340451e+00
1.810000000000000142e+01,6.219264585965457393e+00,6.489659288418685890e+00,7.216544081139292466e+00,7.224945323362834237e+00,6.787603319721568162e+00
1.830000000000000071e+01,6.060332130014897345e+00,6.284900409264879251e+00,7.034202847618588272e+00,7.169998212082454359e+00,6.637358399745204807e+00
1.850000000000000000e+01,5.893474931525092053e+00,6.207826927772846837e+00,6.910878095105371877e+00,7.049922064655390841e+00,6.515525504764675624e+00
1.870000000000000284e+01,5.714335293129775728e+00,6.076697951455630964e+00,6.739573841363835527e+00,6.856599182731621056e+00,6.346801567170215819e+00
1.889999999999999858e+01,5.565178245630725051e+00,6.006159253461656355e+00,6.558056448994895149e+00,6.770782789363773091e+00,6.225044184362761968e+00
1.910000000000000142e+01,5.371388480760209916e+00,5.875359600730336140e+00,6.410427415932986150e+00,6.610324553738032627e+00,6.066875012790390542e+00
1.930000000000000426e+01,5.279648501565489482e+00,5.684847637800935161e+00,6.264810055922473531e+00,6.478924338285909634e+00,5.927057633393702396e+00
1.950000000000000000e+01,5.093837459433976811e+00,5.644743850783268790e+00,6.073813729888629886e+00,6.384376463027284565e+00,5.799192875783290013e+00
1.970000000000000284e+01,4.908151207919323689e+00,5.493471198805357503e+00,5.917938509815336090e+00,6.212520368082468991e+00,5.633020321155621346e+00
1.989999999999999858e+01,4.808109645496498885e+00,5.345644890746876321e+00,5.725567838893582895e+00,6.070397587918282767e+00,5.487429990763810217e+00
2.010000000000000142e+01,4.644038364024018151e+00,5.262242382587264622e+00,5.586371021110235979e+00,5.869243407458155204e+00,5.340473793794918933e+00
2.030000000000000426e+01,4.493103162771022063e+00,5.139166670337242948e+00,5.426505943336642268e+00,5.769534618139156024e+00,5.207077598646016270e+00
2.050000000000000000e+01,4.340150609764604539e+00,4.988039394048574771e+00,5.244891742305904714e+00,5.698390595490558042e+00,5.067868085402411182e+00
2.070000000000000284e+01,4.197072906202295783e+00,4.894438091685380243e+00,5.084998064573587051e+00,5.518569021857419266e+00,4.923769521079671030e+00
2.089999999999999858e+01,4.042063928265863026e+00,4.765376518169956555e+00,4.932225144206621614e+00,5.340857663324361404e+00,4.770130813491700650e+00
2.110000000000000142e+01,3.923209831556661698e+00,4.653979243847733649e+00,4.787000040010302548e+00,5.229489089220337839e+00,4.648419551158758267e+00
2.130000000000000426e+01,3.823508163847954222e+00,4.529840742549501087e+00,4.644782777877040303e+00,5.062302886864488372e+00,4.515108642784745996e+00
2.150000000000000000e+01,3.666990324739773932e+00,4.422484833178533137e+00,4.470194422966063286e+00,4.975813658266756256e+00,4.383870809787781653e+00
2.170000000000000284e+01,3.569286945439733127e+00,4.355587787720358151e+00,4.312389312828923238e+00,4.817523823981074038e+00,4.263696967492522027e+00
2.189999999999999858e+01,3.484020255091213158e+00,4.226143812533995181e+00,4.172524742322142544e+00,4.661742921302497678e+00,4.136107932812461918e+00
2.210000000000000142e+01,3.377506408763741863e+00,4.145759617721372692e+00,4.028263105127869892e+00,4.534605109264673750e+00,4.021533560219414660e+00
2.230000000000000426e+01,3.252506604197020312e+00,4.013852885606552512e+00,3.895142364256961809e+00,4.393941846114141292e+00,3.888860925043669425e+00
2.250000000000000000e+01,3.159285078889317866e+00,3.914263935779366932e+00,3.744017263954935615e+00,4.288289152323642384e+00,3.776463857736815477e+00
2.270000000000000284e+01,3.040788561845685134e+00,3.819796384043592674e+00,3.619603862751268775e+00,4.197632277996136807e+00,3.669455271659170847e+00
2.289999999999999858e+01,2.987827678005882781e+00,3.730781401372788242e+00,3.514025222930381886e+00,4.022161411958550481e+00,3.563698928566901181e+00
2.310000000000000142e+01,2.893408577125897718e+00,3.648609232338646091e+00,3.403708447360845657e+00,3.912006470791628221e+00,3.464433181904254422e+00
2.330000000000000426e+01,2.810394685874856968e+00,3.548100421160013784e+00,3.267819642707360028e+00,3.787561731003254550e+00,3.353469120186371555e+00
2.350000000000000000e+01,2.758488787819982857e+00,3.452044834239289983e+00,3.153885921185588082e+00,3.681386855116900225e+00,3.261451599590440065e+00
2.370000000000000284e+01,2.677264297108640001e+00,3.369255795777348794e+00,3.036682859138898127e+00,3.592982394200309404e+00,3.169046336556299082e+00
2.389999999999999858e+01,2.623221775032786862e+00,3.302445350211934638e+00,2.931279675777897165e+00,3.450114776030797525e+00,3.076765394263354381e+00
2.410000000000000142e+01,2.529181728094985537e+00,3.214634168307144879e+00,2.854674464354087782e+00,3.354384952876498627e+00,2.988218828408179650e+00
2.430000000000000426e+01,2.461147400438293165e+00,3.152187980878648155e+00,2.723463870677024445e+00,3.268617803728137261e+00,2.901354263930525867e+00
2.450000000000000000e+01,2.412576841313666343e+00,3.067265721492124175e+00,2.654420277848181797e+00,3.162225550232554916e+00,2.824122097721631697e+00
2.470000000000000284e+01,2.350727920772774482e+00,3.000756975453998443e+00,2.566346264033777747e+00,3.074104682079000561e+00,2.747983960584887697e+00
2.489999999999999858e+01,2.291682019838597206e+00,2.954549324288894052e+00,2.480147103166133959e+00,2.984322488645441140e+00,2.677675233984766479e+00
2.510000000000000142e+01,2.252546813241523171e+00,2.892862685894060704e+00,2.384464421849544546e+00,2.878074916632935576e+00,2.601987209404516221e+00
2.530000000000000426e+01,2.201615588940446955e+00,2.804929366717757055e+00,2.320849252874706892e+00,2.805910620313374348e+00,2.533326207211571202e+00
2.550000000000000000e+01,2.139264706757865397e+00,2.785559203010410823e+00,2.248869168311638411e+00,2.736029327922889109e+00,2.477430601500700824e+00
2.570000000000000284e+01,2.107916299289421147e+00,2.723124206852142848e+00,2.162542921814436525e+00,2.661142875183935885e+00,2.413681575784984101e+00
2.589999999999999858e+01,2.082955464689786762e+00,2.685428829229123515e+00,2.092614216238617875e+00,2.571077308304178910e+00,2.358018954615426654e+00
2.610000000000000142e+01,2.023744916670344729e+00,2.652029831812008798e+00,2.037086192137022689e+00,2.506543202160077310e+00,2.304851035694863715e+00
2.630000000000000426e+01,1.971115580223991692e+00,2.580535373615621797e+00,1.993173831365692372e+00,2.445642411240667169e+00,2.247616799111493258e+00
2.650000000000000000e+01,1.946368643288364009e+00,2.534300656872486179e+00,1.909908132217103427e+00,2.354512136683327483e+00,2.186272392265320441e+00
2.670000000000000284e+01,1.919467717945394947e+00,2.519422066614342981e+00,1.846500485784430712e+00,2.289695604804880880e+00,2.143771468787262435e+00
2.689999999999999858e+01,1.880389587794986994e+00,2.508424131775736310e+00,1.824409025630558290e+00,2.236837472923640213e+00,2.112515054531230341e+00
2.710000000000000142e+01,1.851271573195784947e+00,2.439281620560981967e+00,1.753948291879760868e+00,2.159522924127087684e+00,2.051006102440903867e+00
2.730000000000000426e+01,1.825135013671797646e+00,2.413118520196072758e+00,1.698958379068910007e+00,2.126053417549639946e+00,2.015816332621604978e+00
2.750000000000000000e+01,1.812042304755534960e+00,2.400543518908072382e+00,1.657529910439350829e+00,2.060315424897306791e+00,1.982607789750066241e+00
2.770000000000000284e+01,1.799621690473091951e+00,2.351647170169958390e+00,1.610102184241648526e+00,2.017236181606114176e+00,1.944651806622703205e+00
2.789999999999999858e+01,1.746096128247023538e+00,2.317307961752562928e+00,1.575559918673212101e+00,1.916672760049214164e+00,1.888909192180503238e+00
2.810000000000000142e+01,1.727935807556435721e+00,2.278092799635644816e+00,1.544403543177526261e+00,1.912817894724942125e+00,1.865812511273637231e+00
2.830000000000000426e+01,1.713214304284672140e+00,2.274602283477133557e+00,1.512364952370651716e+00,1.846487983694849344e+00,1.836667380956826801e+00
2.850000000000000000e+01,1.692210017950367407e+00,2.231522445968543877e+00,1.468786782050277795e+00,1.775453904015364737e+00,1.791993287496138398e+00
2.870000000000000284e+01,1.674186234320459654e+00,2.191379142058389906e+00,1.435118244730638537e+00,1.723855270596605482e+00,1.756134722926523395e+00
2.889999999999999858e+01,1.666560376588706260e+00,2.165616235404480339e+00,1.402882181648351878e+00,1.691701368381852477e+00,1.731690040505847739e+00
2.910000000000000142e+01,1.642655529559785332e+00,2.153556328416955434e+00,1.384838263261418234e+00,1.650047754619105689e+00,1.707774468964316172e+00
2.930000000000000426e+01,1.632797430414582252e+00,2.119384548989742711e+00,1.347430921955701910e+00,1.610045043124446629e+00,1.677414486121118431e+00
2.950000000000000000e+01,1.618344872944979418e+00,2.095884076168447407e+00,1.319993613761641704e+00,1.544569297690448151e+00,1.644697965141379337e+00
2.970000000000000284e+01,1.615115241570753257e+00,2.070568737943455417e+00,1.293499200973742713e+00,1.517876581764685984e+00,1.624264940563159065e+00
2.989999999999999858e+01,1.607056964442807212e+00,2.020819407728261741e+00,1.272409225161021062e+00,1.467816346411797923e+00,1.592025485935971929e+00
3.010000000000000142e+01,1.577317839512128117e+00,1.999721894407315181e+00,1.255464981233880950e+00,1.440744391820460102e+00,1.568312276743446088e+00
3.030000000000000426e+01,1.560622560564215000e+00,1.982927839112287538e+00,1.229295920240529805e+00,1.399286014563183800e+00,1.543033083620053869e+00
3.050000000000000000e+01,1.547254521648739667e+00,1.957675354024377645e+00,1.204682131048119498e+00,1.345837016947482256e+00,1.513862255917179711e+00
3.070000000000000284e+01,1.534672297410605513e+00,1.923683103423484475e+00,1.186357634352356305e+00,1.325986870438237375e+00,1.492674976406170861e+00
3.089999999999999858e+01,1.520810848740900445e+00,1.905974873833701455e+00,1.171657038926883443e+00,1.289973085034180844e+00,1.472103961633916658e+00
3.110000000000000142e+01,1.507520324496653297e+00,1.876658524911405834e+00,1.150900333778783979e+00,1.254944254896514622e+00,1.447505859520839433e+00
3.130000000000000426e+01,1.500656457007950584e+00,1.855035024040428526e+00,1.120899643800491896e+00,1.236464708266109103e+00,1.428263958278745083e+00
3.150000000000000000e+01,1.480910007707142650e+00,1.814316809604530567e+00,1.106961571330843386e+00,1.194486286215380888e+00,1.399168668714474206e+00
3.170000000000000284e+01,1.478844992581830109e+00,1.805507352243245434e+00,1.098846701293389350e+00,1.167349248186161370e+00,1.387637073576156510e+00
3.189999999999999858e+01,1.468903594241443900e+00,1.791118731182985480e+00,1.086820006050292831e+00,1.127330593587165586e+00,1.368543231265471949e+00
3.210000000000000142e+01,1.476532462580355531e+00,1.749577604496858951e+00,1.053390944771968929e+00,1.092072615089277887e+00,1.342893406734615214e+00
3.229999999999999716e+01,1.462431025148164254e+00,1.735043766511554786e+00,1.056378185962187022e+00,1.078511045874492869e+00,1.333091005874099455e+00
3.250000000000000000e+01,1.431905080327691593e+00,1.699052382243322779e+00,1.039261957930456948e+00,1.039409320347206789e+00,1.302407185212169471e+00
3.270000000000000284e+01,1.426329767706426388e+00,1.686155800161004636e+00,1.035028552664179147e+00,1.013570005345967306e+00,1.290271031469394369e+00
3.290000000000000568e+01,1.412827851773735599e+00,1.659290149975898077e+00,1.008025174973701921e+00,9.973832023475500685e-01,1.269381594767721610e+00
3.310000000000000142e+01,1.415342862047435091e+00,1.621646876050084618e+00,1.005667314008788837e+00,9.709321215055342069e-01,1.253397293402960688e+00
3.329999999999999716e+01,1.393875162638978038e+00,1.619666859032952155e+00,1.009080070988916278e+00,9.484400561602748247e-01,1.242765537205280157e+00
3.350000000000000000e+01,1.386393882705181380e+00,1.598577161564976645e+00,9.753759392238581238e-01,9.091129665784938307e-01,1.217364987518127606e+00
3.370000000000000284e+01,1.391714356339637471e+00,1.553295190674562898e+00,9.721081312473999203e-01,8.829346267983346763e-01,1.200013076264983880e+00
3.390000000000000568e+01,1.361002954155216660e+00,1.543994281365134613e+00,9.661474579159141651e-01,8.720789637626125135e-01,1.185805914299719710e+00
3.410000000000000142e+01,1.363706378553771525e+00,1.519703549683733002e+00,9.587639913521132096e-01,8.524801140048756665e-01,1.173663508398623323e+00
3.429999999999999716e+01,1.349433101194474904e+00,1.497914341212115197e+00,9.577502501011042613e-01,8.177945446996681689e-01,1.155723059301840605e+00
3.450000000000000000e+01,1.327293473679842739e+00,1.475970086501925627e+00,9.326259451308598347e-01,8.036447695035026095e-01,1.134883568704032841e+00
3.470000000000000284e+01,1.327751036180269351e+00,1.448790242394729200e+00,9.406104728255139102e-01,7.837146192598521965e-01,1.125216592665091220e+00
3.490000000000000568e+01,1.323046247907635919e+00,1.421590695890548650e+00,9.300646957208792420e-01,7.650709548497229839e-01,1.109943148592196671e+00
3.510000000000000142e+01,1.308952737314859061e+00,1.407755799431626764e+00,9.266198608475018084e-01,7.500932405499292077e-01,1.098355409535979321e+00
3.529999999999999716e+01,1.288879630915760188e+00,1.382510308686756728e+00,9.102026096512052522e-01,7.381624446635881576e-01,1.079938748479327693e+00
3.550000000000000000e+01,1.280639886230901414e+00,1.366878066923042256e+00,9.097652084846792331e-01,7.165641897963377360e-01,1.068461837858740271e+00
