r,block_22,block_23,block_24,block_25,mean_last4
1.150000000000000000e+01,1.128373174095753884e+00,1.125291747155758415e+00,1.095775106618991579e+00,1.114371995249457292e+00,1.115953005779990237e+00
1.170000000000000107e+01,1.132128504621133125e+00,1.128062866113428209e+00,1.091716799238602542e+00,1.115708076800790538e+00,1.116904061693488437e+00
1.190000000000000036e+01,1.129968690605306803e+00,1.131980394095207565e+00,1.109012833287138733e+00,1.107876202389739495e+00,1.119709530094348260e+00
1.210000000000000142e+01,1.131402875576928757e+00,1.129286785723652597e+00,1.103412202625755567e+00,1.119603007946051942e+00,1.120926217968097216e+00
1.230000000000000071e+01,1.141170472934438296e+00,1.136925733359210655e+00,1.107256117876532109e+00,1.120894910577144188e+00,1.126561808686831423e+00
1.250000000000000000e+01,1.137774690106918118e+00,1.139329394895666203e+00,1.108865461996522361e+00,1.124209359923186158e+00,1.127544726730573155e+00
1.270000000000000107e+01,1.143907545675221904e+00,1.148215702349720591e+00,1.113165695826449975e+00,1.129009575575366187e+00,1.133574629856689553e+00
1.290000000000000036e+01,1.147849798222599915e+00,1.149240231802571843e+00,1.117355625103487737e+00,1.126290269707576952e+00,1.135183981209059167e+00
1.310000000000000142e+01,1.157554051071471468e+00,1.149763919351354691e+00,1.123649375616946999e+00,1.135005384835449549e+00,1.141493182718805510e+00
1.330000000000000071e+01,1.151856436468525535e+00,1.156179537639224764e+00,1.126620142145026815e+00,1.136522256197180836e+00,1.142794593112489432e+00
1.350000000000000000e+01,1.161256074654845483e+00,1.153237488250778098e+00,1.127089607779013569e+00,1.135907412618128332e+00,1.144372645825691315e+00
1.370000000000000107e+01,1.158457055804774871e+00,1.159334168897995454e+00,1.127540818149087132e+00,1.142309342967030128e+00,1.146910346454721896e+00
1.390000000000000036e+01,1.161226522264895644e+00,1.166225779908377058e+00,1.139005149919005921e+00,1.141877038871921934e+00,1.152083622741050029e+00
1.410000000000000142e+01,1.167318182933381632e+00,1.160744493465699412e+00,1.135258694453321171e+00,1.144158699357119779e+00,1.151870017552380387e+00
1.430000000000000071e+01,1.166691984452529418e+00,1.165485106474856591e+00,1.135698211622152343e+00,1.149421807370767823e+00,1.154324277480076599e+00
1.450000000000000000e+01,1.165555715763102462e+00,1.168722320299649065e+00,1.144171669632001453e+00,1.146480634801222420e+00,1.156232585123993850e+00
1.470000000000000107e+01,1.167434100784799478e+00,1.174091194234207602e+00,1.146208582853284419e+00,1.150530411527540320e+00,1.159566072349957899e+00
1.490000000000000036e+01,1.170968573315517292e+00,1.170798007883114611e+00,1.145826369496978803e+00,1.156188245657335800e+00,1.160945299088236737e+00
1.510000000000000142e+01,1.177498491268724079e+00,1.172357088109248213e+00,1.155418964745071442e+00,1.154510777657801412e+00,1.164946330445211231e+00
1.530000000000000071e+01,1.177662995660001544e+00,1.175409530672192338e+00,1.152683647065729788e+00,1.156646584944699185e+00,1.165600689585655658e+00
