r,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,block_16,block_17,block_18,block_19,block_20,block_21,block_22,block_23,block_24,block_25
4.099999999999999645e+00,8.298998740106393601e-01,8.187225610126384057e-01,8.082844092194497732e-01,8.022390780573690483e-01,8.438680562180131961e-01,8.435191787466536084e-01,8.190191193862210728e-01,8.368144710407205977e-01,8.019002533737622507e-01,8.506528940613985457e-01,8.419251524577179291e-01,8.519863653965152883e-01,8.434581285890829783e-01,8.255353101340555666e-01,8.523887278618526020e-01,8.466937951783680694e-01,8.204700088137459879e-01,8.388789798797017250e-01,7.553993287130330581e-01,6.913831519446950180e-01,6.718761306628153740e-01,7.164455273682640568e-01,7.253217090512600329e-01,6.825758782652672219e-01,7.098724809128645896e-01
4.300000000000000711e+00,8.629353824943477580e-01,8.458672519451820859e-01,8.213729876997015733e-01,8.258711490779516717e-01,8.700994439327653929e-01,8.581331782067862513e-01,8.386904729696379457e-01,8.421171764916056679e-01,8.278770514342542741e-01,8.556714535048658421e-01,8.809539419624581313e-01,8.595600915907561923e-01,8.802326096534055511e-01,8.631096581243523636e-01,8.651925089161721649e-01,8.703845641760057372e-01,8.702039494845943413e-01,8.591862446828549826e-01,7.506755811014048652e-01,7.167437244409128327e-01,6.977546783304959810e-01,7.382851811440600542e-01,7.267579941377561026e-01,7.041516881511101777e-01,7.257124026299252018e-01
4.500000000000000000e+00,9.079116743972115433e-01,8.999987235390262130e-01,8.864402999468882216e-01,8.900041633129491814e-01,9.146762698530621627e-01,9.322032151876356032e-01,8.960692084608093966e-01,9.141774816328864794e-01,8.835595822902304608e-01,9.144319725922445130e-01,9.107659682067654749e-01,9.236896473108870964e-01,9.253465387594179692e-01,9.203241479621151466e-01,9.373403317518336220e-01,9.194647999632976632e-01,9.004738775238053661e-01,9.181259122723586241e-01,8.113521384562395466e-01,7.738437546472000106e-01,7.528928038924308508e-01,7.749024699171546127e-01,7.743648552620536751e-01,7.461830307175529864e-01,7.642343146263899101e-01
4.700000000000001066e+00,9.696629754540456725e-01,9.576562839732786214e-01,9.261820054477266639e-01,9.383527454941245072e-01,9.843814915977084912e-01,9.716835976987101553e-01,9.594500626885602568e-01,9.681875585940401541e-01,9.219272259156717775e-01,9.626913488434361010e-01,9.681275404071058022e-01,9.619662829652201319e-01,9.650055106583846909e-01,9.586833239311076671e-01,9.727470402301168217e-01,9.716627329049964956e-01,9.681913358449000251e-01,9.723793501053884514e-01,8.554563229286739068e-01,8.032321838087013166e-01,7.876008851703013569e-01,8.341540408903189707e-01,8.246306950349158171e-01,7.981472648441992890e-01,8.057017894084453902e-01
4.900000000000000355e+00,1.005162017866811919e+00,9.824679880699233037e-01,9.461479222258298849e-01,9.675445204674886224e-01,9.815916401641894273e-01,1.008264091682274044e+00,9.774969072791633851e-01,9.819281867295830413e-01,9.430660160019451732e-01,9.861449852960439966e-01,9.883309528863982729e-01,1.000258866748461761e+00,9.962428708571303693e-01,9.834544924796685406e-01,9.905960962037707596e-01,9.943967268043552021e-01,9.853534089224855741e-01,9.955329188759651782e-01,8.832224271886989220e-01,8.218319974150184448e-01,8.011518041675785851e-01,8.536443152630267539e-01,8.391998674533431846e-01,8.097321079997952253e-01,8.231376587755284691e-01
5.099999999999999645e+00,9.975565166602481382e-01,1.005207374362167894e+00,9.721146718522414298e-01,9.871634710608143681e-01,1.018795540099795671e+00,1.030155701513924216e+00,9.986697048722942283e-01,1.013842598488715829e+00,9.839297562508089179e-01,1.023401259501672378e+00,1.016397449615298321e+00,1.020099899640976027e+00,1.036260687093930599e+00,1.015992480443674850e+00,1.016071529357684078e+00,1.024303383683710322e+00,1.010263491188437834e+00,1.028161065807231767e+00,9.084862363358315873e-01,8.480659108518054934e-01,8.206685861878085797e-01,8.606289546923034939e-01,8.620728784743283413e-01,8.426545613310236771e-01,8.523092462745115450e-01
5.300000000000000711e+00,1.028939483717184133e+00,1.034590283337041949e+00,1.012008281465146098e+00,1.021370556948450803e+00,1.049034763496563771e+00,1.047434704180030263e+00,1.033369703545704343e+00,1.034591134795360023e+00,1.015681852961510145e+00,1.041937249033118240e+00,1.050675844923655955e+00,1.057300043785490029e+00,1.047634852178553011e+00,1.052270881866675278e+00,1.052361877932370460e+00,1.054183479948068491e+00,1.046679007570638253e+00,1.042676725083274247e+00,9.322629459012816699e-01,8.801329568163427375e-01,8.626566931698642637e-01,8.978485713900663523e-01,8.819559153407013907e-01,8.498591678871243449e-01,8.793174133330859954e-01
5.500000000000000000e+00,1.070021880619326460e+00,1.044976587891552677e+00,1.021196844405725113e+00,1.034502868588484503e+00,1.060717818499257392e+00,1.075543239417467767e+00,1.056494287728807491e+00,1.063429834227248794e+00,1.027459821707313647e+00,1.062136079537555400e+00,1.074187094418123767e+00,1.077286560570702489e+00,1.084103421706488879e+00,1.067646457620908818e+00,1.077550291814724392e+00,1.076292158368545415e+00,1.076367295141390290e+00,1.068667375731733094e+00,9.527300717897617677e-01,9.101559033889955463e-01,8.762819995503374759e-01,9.150893910342970949e-01,9.164769661346856555e-01,8.797264022434907460e-01,9.071800929681379522e-01
5.700000000000001066e+00,1.074553459520371401e+00,1.063986754679943081e+00,1.050204655498345074e+00,1.060955451286248685e+00,1.091603444958642921e+00,1.083948668721559594e+00,1.061612600545973173e+00,1.065730615347455279e+00,1.041182535990957447e+00,1.077031040756340818e+00,1.088209827739816005e+00,1.092006973965134797e+00,1.077011687114271199e+00,1.088873540694892172e+00,1.089033702303832341e+00,1.069964371296018513e+00,1.087064979027177358e+00,1.068777051057836047e+00,9.623353001237530124e-01,9.203891782021982326e-01,8.793278154135910629e-01,9.231566945590310436e-01,9.212704201829036155e-01,8.922664646456230919e-01,9.141213268457527574e-01
5.900000000000000355e+00,1.076411354746024562e+00,1.068590779535716573e+00,1.050387795478076702e+00,1.057168117979925048e+00,1.088736122868686484e+00,1.097193539933413620e+00,1.061200083427446872e+00,1.088415794644013168e+00,1.036445037694797344e+00,1.087716213576602309e+00,1.077527702442286683e+00,1.088368004196550665e+00,1.092417303861845435e+00,1.085144709047179967e+00,1.091280276502216928e+00,1.091366335777285590e+00,1.079640530305807422e+00,1.091402708228161433e+00,9.783299480134998172e-01,9.183014445536695769e-01,8.867411749297551271e-01,9.333206292716720309e-01,9.252650606435448566e-01,8.913428276810214657e-01,9.194362005654979075e-01
